Opt. Const. of B-Spline vs. nm,n,k
191.078323,1.649894,0.530456
192.662064,1.556217,0.499866
194.245926,1.472063,0.495753
195.82991,1.403327,0.511279
197.414017,1.353153,0.53863
198.998245,1.321426,0.569639
200.582596,1.304462,0.5972
202.167068,1.295294,0.618157
203.751648,1.289355,0.634308
205.336349,1.284878,0.647358
206.921173,1.281032,0.658583
208.506104,1.277499,0.668962
210.091156,1.274313,0.679243
211.676315,1.271842,0.689898
213.261597,1.270531,0.70082
214.847,1.27043,0.711723
216.432495,1.27145,0.722404
218.018112,1.273453,0.732713
219.603836,1.276271,0.742539
221.189667,1.279711,0.75181
222.775635,1.283548,0.760497
224.361664,1.287541,0.7687
225.947845,1.291588,0.776584
227.534103,1.295655,0.784275
229.120483,1.299737,0.791871
230.706985,1.303851,0.799451
232.293549,1.308026,0.807075
233.880249,1.312305,0.814788
235.467041,1.31675,0.822615
237.053925,1.32143,0.830531
238.640945,1.326368,0.838484
240.228058,1.331562,0.846433
241.815231,1.337,0.854347
243.402542,1.342665,0.862202
244.989944,1.348536,0.869978
246.577438,1.354589,0.877663
248.165039,1.360795,0.885246
249.752716,1.367119,0.892727
251.3405,1.373522,0.900129
252.928391,1.379994,0.907488
254.516357,1.386537,0.914832
256.104431,1.393161,0.92218
257.692596,1.399877,0.929549
259.280853,1.406701,0.936949
260.869202,1.413647,0.944389
262.457642,1.420734,0.951874
264.046173,1.42798,0.959404
265.634766,1.435408,0.966977
267.22348,1.443043,0.974582
268.812286,1.450896,0.982194
270.401154,1.458973,0.989797
271.990112,1.467277,0.997373
273.579163,1.475805,1.004908
275.168274,1.484558,1.012392
276.757507,1.493533,1.019813
278.346832,1.502726,1.027161
279.936218,1.512135,1.034428
281.525665,1.521754,1.041607
283.115204,1.531577,1.048692
284.704834,1.541596,1.055683
286.294525,1.551804,1.062586
287.884338,1.562207,1.069413
289.474182,1.572813,1.076168
291.064117,1.583637,1.082855
292.654114,1.594691,1.089473
294.244202,1.605992,1.096019
295.834412,1.617558,1.102491
297.424622,1.629407,1.108881
299.014954,1.641562,1.115179
300.605316,1.654048,1.121376
302.19577,1.666893,1.127455
303.786316,1.680133,1.133397
305.376892,1.693817,1.139172
306.96759,1.708007,1.1447
308.558289,1.722701,1.149872
310.149109,1.737866,1.154606
311.73999,1.753457,1.158833
313.330902,1.769423,1.162503
314.921936,1.785711,1.165572
316.513,1.802266,1.168008
318.104126,1.819032,1.169785
319.695313,1.835954,1.170885
321.28656,1.852976,1.171293
322.877899,1.870043,1.171003
324.469299,1.8871,1.17001
326.06073,1.904092,1.168313
327.652222,1.920961,1.165919
329.243774,1.937645,1.162836
330.835388,1.954075,1.159087
332.427063,1.970195,1.154729
334.018799,1.985976,1.14981
335.610596,2.0014,1.144376
337.202454,2.016454,1.138463
338.794342,2.031125,1.132104
340.386292,2.045406,1.12533
341.978302,2.05929,1.118168
343.570374,2.072771,1.110643
345.162476,2.085843,1.102778
346.754639,2.098501,1.094594
348.346832,2.11074,1.086112
349.939087,2.122556,1.077349
351.531403,2.133943,1.068325
353.123749,2.144894,1.059055
354.716156,2.155402,1.049555
356.308624,2.165457,1.039843
357.901093,2.175047,1.029934
359.493652,2.184151,1.01985
361.086243,2.192753,1.00963
362.678864,2.200851,0.999314
364.271515,2.208454,0.988938
365.864227,2.215568,0.978532
367.45697,2.222206,0.968125
369.049774,2.228379,0.957742
370.642609,2.234102,0.947406
372.235474,2.239387,0.937139
373.828369,2.24425,0.926961
375.421326,2.248705,0.91689
377.014313,2.252769,0.906943
378.60733,2.256458,0.897135
380.200378,2.259787,0.887481
381.793457,2.262773,0.877994
383.386566,2.265433,0.868688
384.979706,2.267785,0.859572
386.572906,2.269847,0.850658
388.166107,2.271638,0.841955
389.759338,2.273177,0.833472
391.352631,2.274486,0.825216
392.945953,2.275588,0.817193
394.539276,2.276511,0.809403
396.132629,2.277278,0.801836
397.726013,2.277903,0.794483
399.319427,2.278399,0.787335
400.912872,2.278777,0.780386
402.506317,2.279045,0.773629
404.099792,2.279214,0.767058
405.693298,2.279289,0.760668
407.286835,2.279279,0.754454
408.880402,2.279191,0.748411
410.473969,2.279029,0.742534
412.067566,2.2788,0.736819
413.661194,2.27851,0.731262
415.254791,2.278164,0.72586
416.84845,2.277766,0.720608
418.442078,2.277322,0.715502
420.035797,2.276836,0.71054
421.629486,2.276312,0.705717
423.223206,2.275754,0.701032
424.816895,2.275167,0.69648
426.410645,2.274555,0.692059
428.004395,2.273922,0.687765
429.598145,2.273273,0.683596
431.191956,2.272611,0.679549
432.785706,2.27194,0.67562
434.379486,2.271267,0.671807
435.973297,2.270597,0.668106
437.567078,2.269934,0.664509
439.16095,2.269283,0.661011
440.75473,2.268645,0.657605
442.348541,2.268022,0.654286
443.942383,2.267414,0.651047
445.536224,2.266822,0.647884
447.130066,2.266247,0.644792
448.723938,2.265689,0.641766
450.317719,2.265148,0.638803
451.91156,2.264623,0.635896
453.505432,2.264113,0.633044
455.099274,2.263619,0.630241
456.693115,2.263139,0.627484
458.286957,2.262672,0.62477
459.880798,2.262218,0.622095
461.474609,2.261774,0.619457
463.068451,2.26134,0.616852
464.662292,2.260915,0.614277
466.256104,2.260495,0.61173
467.849915,2.260081,0.609209
469.443695,2.25967,0.60671
471.037506,2.259259,0.604231
472.631287,2.258848,0.601771
474.225098,2.258433,0.599327
475.818848,2.258013,0.596898
477.412598,2.257585,0.594481
479.006348,2.257145,0.592076
480.600098,2.256692,0.58968
482.193787,2.256222,0.587292
483.787506,2.255731,0.584911
485.381195,2.255215,0.582536
486.974915,2.254668,0.580168
488.568542,2.254083,0.577808
490.162201,2.253459,0.575462
491.755798,2.252792,0.573133
493.349426,2.252081,0.570825
494.943024,2.251325,0.568541
496.53656,2.250525,0.566285
498.130127,2.249679,0.56406
499.723633,2.248788,0.561868
501.317139,2.247852,0.559712
502.910645,2.246872,0.557595
504.504089,2.245848,0.555519
506.097504,2.244781,0.553485
507.690918,2.243673,0.551497
509.284332,2.242524,0.549556
510.877625,2.241335,0.547664
512.471008,2.240107,0.545823
514.064331,2.238842,0.544035
515.657593,2.237541,0.5423
517.250793,2.236206,0.540621
518.843994,2.234838,0.539
520.437134,2.233437,0.537437
522.030334,2.232007,0.535933
523.623413,2.230549,0.53449
525.216492,2.229063,0.53311
526.80957,2.227553,0.531792
528.402588,2.226019,0.530538
529.995544,2.224464,0.52935
531.588501,2.222889,0.528227
533.181396,2.221296,0.527171
534.774231,2.219688,0.526182
536.367065,2.218065,0.525261
537.959839,2.216431,0.524409
539.552612,2.214787,0.523626
541.145325,2.213135,0.522912
542.737915,2.211478,0.522269
544.330566,2.209817,0.521696
545.923157,2.208156,0.521194
547.515686,2.206496,0.520763
549.108154,2.204841,0.520403
550.700562,2.203193,0.520115
552.29303,2.201556,0.519897
553.885376,2.199934,0.519749
555.477661,2.198329,0.519668
557.069885,2.196743,0.519651
558.662109,2.195179,0.519698
560.254272,2.193637,0.519806
561.846313,2.192119,0.519973
563.438354,2.190626,0.520197
565.030396,2.18916,0.520477
566.622314,2.18772,0.52081
568.214233,2.186308,0.521196
569.80603,2.184925,0.521632
571.397827,2.183572,0.522117
572.989563,2.182248,0.522649
574.581238,2.180955,0.523228
576.172852,2.179692,0.523851
577.764404,2.178461,0.524517
579.355835,2.177262,0.525225
580.947327,2.176095,0.525973
582.538696,2.17496,0.526761
584.130005,2.173858,0.527586
585.721252,2.172789,0.528448
587.312378,2.171752,0.529345
588.903564,2.170749,0.530276
590.494568,2.169779,0.531241
592.085571,2.168843,0.532237
593.676514,2.16794,0.533264
595.267395,2.16707,0.53432
596.858154,2.166234,0.535405
598.448853,2.165432,0.536518
600.039551,2.164663,0.537658
601.630127,2.163927,0.538823
603.220642,2.163224,0.540012
604.811096,2.162555,0.541225
606.401489,2.161919,0.542462
607.99176,2.161316,0.54372
609.58197,2.160746,0.544999
611.172119,2.160209,0.546298
612.762207,2.159704,0.547616
614.352173,2.159231,0.548953
615.942139,2.158791,0.550308
617.531982,2.158382,0.55168
619.121704,2.158005,0.553068
620.711426,2.15766,0.554471
622.301086,2.157345,0.555889
623.890564,2.157061,0.557322
625.480042,2.156808,0.558768
627.069397,2.156585,0.560226
628.658691,2.156393,0.561697
630.247925,2.156229,0.563179
631.837036,2.156095,0.564672
633.426025,2.155989,0.566176
635.015015,2.155912,0.567689
636.603882,2.155862,0.569211
638.192627,2.15584,0.570743
639.781311,2.155844,0.572283
641.369934,2.155874,0.573832
642.958435,2.155929,0.575389
644.546814,2.15601,0.576955
646.135132,2.156117,0.578529
647.72345,2.156248,0.580111
649.311584,2.156404,0.581702
650.899597,2.156585,0.583301
652.48761,2.15679,0.584907
654.075439,2.15702,0.586522
655.663208,2.157274,0.588143
657.250854,2.157552,0.589773
658.838501,2.157855,0.59141
660.425903,2.158181,0.593054
662.013306,2.158532,0.594705
663.600586,2.158906,0.596363
665.187805,2.159305,0.598027
666.774841,2.159727,0.599699
668.361877,2.160173,0.601376
669.94873,2.160643,0.60306
671.535522,2.161136,0.60475
673.122192,2.161654,0.606446
674.70874,2.162195,0.608148
676.295227,2.16276,0.609855
677.881531,2.163348,0.611568
679.467834,2.163961,0.613286
681.053955,2.164597,0.615009
682.640015,2.165257,0.616737
684.225952,2.16594,0.618469
685.811707,2.166647,0.620206
687.397461,2.167379,0.621948
688.983032,2.168133,0.623694
690.568542,2.168912,0.625444
692.153931,2.169714,0.627197
693.739136,2.170541,0.628954
695.324341,2.171391,0.630715
696.909302,2.172265,0.632479
698.494263,2.173163,0.634246
700.079041,2.174085,0.636016
701.663696,2.175031,0.637788
703.248291,2.176001,0.639564
704.832764,2.176995,0.641341
706.417114,2.178013,0.643121
708.001282,2.179055,0.644902
709.585327,2.180122,0.646686
711.169312,2.181213,0.648471
712.753174,2.182328,0.650258
714.336853,2.183468,0.652045
715.920471,2.184632,0.653834
717.503967,2.185821,0.655624
719.08728,2.187034,0.657414
720.670532,2.188273,0.659205
722.253601,2.189536,0.660996
723.836548,2.190824,0.662787
725.419373,2.192137,0.664578
727.002075,2.193475,0.666368
728.584656,2.194838,0.668158
730.167114,2.196227,0.669948
731.749451,2.197641,0.671736
733.331665,2.199081,0.673524
734.913696,2.200547,0.67531
736.495605,2.202039,0.677094
738.077393,2.203557,0.678877
739.659058,2.205101,0.680657
741.24054,2.206671,0.682436
742.821899,2.208269,0.684212
744.403198,2.209894,0.685985
745.984253,2.211546,0.687756
747.565247,2.213225,0.689523
749.146057,2.214933,0.691287
750.726685,2.216669,0.693047
752.307251,2.218433,0.694803
753.887634,2.220228,0.696555
755.467896,2.222052,0.698302
757.047974,2.223908,0.700043
758.627991,2.225795,0.701777
760.207825,2.227715,0.703502
761.787476,2.229666,0.705219
763.367065,2.231648,0.706924
764.946411,2.233663,0.708618
766.525635,2.235709,0.7103
768.104736,2.237786,0.711968
769.683655,2.239893,0.713621
771.262451,2.242031,0.71526
772.841064,2.244199,0.716882
774.419556,2.246397,0.718487
775.997925,2.248623,0.720075
777.57605,2.250878,0.721645
779.154114,2.253162,0.723196
780.731995,2.255473,0.724727
782.309692,2.257811,0.726238
783.887268,2.260176,0.727728
785.464661,2.262567,0.729197
787.04187,2.264983,0.730644
788.619019,2.267425,0.732069
790.195923,2.269891,0.733471
791.772705,2.27238,0.73485
793.349304,2.274893,0.736205
794.92572,2.277429,0.737536
796.502075,2.279987,0.738843
798.078186,2.282566,0.740125
799.654114,2.285167,0.741381
801.229858,2.287787,0.742613
802.805542,2.290428,0.743818
804.380981,2.293088,0.744998
805.956299,2.295766,0.746151
807.531372,2.298463,0.747277
809.106384,2.301177,0.748377
810.681152,2.303908,0.74945
812.255798,2.306656,0.750495
813.8302,2.309419,0.751514
815.404541,2.312198,0.752504
816.978638,2.314991,0.753467
818.552551,2.317799,0.754403
820.126343,2.32062,0.75531
821.69989,2.323454,0.756189
823.273315,2.326301,0.75704
824.846558,2.32916,0.757863
826.419617,2.33203,0.758657
827.992493,2.334911,0.759423
829.565247,2.337803,0.760161
831.137695,2.340704,0.76087
832.710083,2.343615,0.76155
834.282227,2.346535,0.762202
835.854187,2.349464,0.762826
837.426086,2.3524,0.763421
838.997681,2.355344,0.763987
840.569153,2.358294,0.764525
842.14032,2.361252,0.765034
843.711426,2.364215,0.765514
845.282349,2.367183,0.765966
846.853027,2.370157,0.76639
848.423523,2.373136,0.766785
849.993835,2.376118,0.767152
851.563965,2.379105,0.767491
853.133911,2.382095,0.767801
854.703735,2.385087,0.768083
856.273254,2.388083,0.768337
857.84259,2.39108,0.768563
859.411804,2.394078,0.768761
860.980774,2.397079,0.768931
862.549622,2.400079,0.769074
864.118164,2.40308,0.769188
865.686646,2.406082,0.769276
867.254761,2.409083,0.769335
868.822876,2.412083,0.769368
870.390625,2.415082,0.769373
871.958191,2.41808,0.769351
873.525696,2.421075,0.769303
875.092896,2.424069,0.769227
876.659851,2.427059,0.769125
878.226685,2.430047,0.768996
879.793335,2.433032,0.76884
881.359741,2.436013,0.768659
882.925964,2.43899,0.768451
884.491882,2.441962,0.768217
886.057739,2.44493,0.767957
887.623352,2.447893,0.767671
889.18866,2.45085,0.76736
890.753906,2.453802,0.767024
892.318848,2.456748,0.766662
893.883606,2.459687,0.766275
895.44812,2.46262,0.765863
897.012512,2.465546,0.765426
898.57666,2.468464,0.764965
900.140503,2.471375,0.764479
901.704285,2.474278,0.763969
903.267761,2.477172,0.763434
904.831055,2.480058,0.762876
906.394165,2.482935,0.762294
907.956909,2.485803,0.761688
909.519653,2.488662,0.761059
911.082031,2.49151,0.760406
912.644226,2.494349,0.759731
914.206177,2.497176,0.759032
915.767944,2.499994,0.758311
917.329468,2.5028,0.757567
918.890808,2.505594,0.756801
920.451965,2.508376,0.756012
922.012817,2.511147,0.755202
923.573425,2.513904,0.75437
925.133911,2.516649,0.753516
926.694031,2.519379,0.752642
928.254028,2.522096,0.751746
929.813782,2.524798,0.75083
931.373352,2.527485,0.749895
932.932617,2.530158,0.748941
934.491699,2.532815,0.747967
936.050598,2.535457,0.746976
937.609192,2.538083,0.745967
939.167603,2.540694,0.744941
940.725708,2.543289,0.743897
942.283569,2.545869,0.742838
943.841309,2.548432,0.741762
945.398743,2.55098,0.74067
946.955933,2.553512,0.739563
948.512878,2.556028,0.738441
950.069641,2.558527,0.737305
951.62616,2.561011,0.736154
953.182434,2.563479,0.73499
954.738464,2.565931,0.733811
956.29425,2.568366,0.73262
957.849792,2.570786,0.731416
959.405151,2.573189,0.730199
960.960266,2.575577,0.728969
962.515015,2.577948,0.727728
964.069641,2.580303,0.726475
965.624023,2.582643,0.725211
967.178101,2.584966,0.723935
968.731934,2.587274,0.722649
970.285522,2.589565,0.721352
971.838989,2.591841,0.720044
973.391968,2.5941,0.718727
974.944946,2.596345,0.7174
976.497559,2.598573,0.716063
978.049927,2.600785,0.714717
979.602051,2.602982,0.713362
981.153931,2.605164,0.711997
982.705444,2.607329,0.710625
984.256836,2.609479,0.709243
985.807983,2.611614,0.707854
987.358887,2.613734,0.706457
988.909485,2.615838,0.705051
990.459778,2.617927,0.703639
992.009888,2.62,0.702219
993.559753,2.622059,0.700791
995.109253,2.624102,0.699357
996.658569,2.626131,0.697916
998.207703,2.628144,0.696468
999.75647,2.630143,0.695014
1011.723267,2.645102,0.683572
1015.185913,2.649273,0.680199
1018.648621,2.653376,0.676802
1022.111328,2.65741,0.673381
1025.573975,2.661377,0.669939
1029.036865,2.665277,0.666476
1032.499634,2.669111,0.662995
1035.962402,2.672879,0.659496
1039.425293,2.676584,0.655981
1042.888184,2.680224,0.65245
1046.351074,2.683802,0.648906
1049.813965,2.687318,0.645349
1053.276978,2.690772,0.641781
1056.739868,2.694166,0.638202
1060.202881,2.6975,0.634613
1063.665771,2.700775,0.631015
1067.128662,2.703992,0.62741
1070.591675,2.707151,0.623797
1074.054688,2.710253,0.620179
1077.5177,2.7133,0.616555
1080.980591,2.71629,0.612927
1084.443604,2.719227,0.609295
1087.906494,2.722109,0.60566
1091.369507,2.724938,0.602023
1094.832397,2.727715,0.598385
1098.295288,2.73044,0.594745
1101.758301,2.733114,0.591105
1105.221191,2.735737,0.587465
1108.684082,2.73831,0.583826
1112.146851,2.740835,0.580188
1115.609741,2.743311,0.576552
1119.07251,2.745739,0.572918
1122.535278,2.748119,0.569288
1125.998047,2.750454,0.56566
1129.460693,2.752742,0.562037
1132.923462,2.754985,0.558417
1136.385986,2.757183,0.554803
1139.848633,2.759337,0.551193
1143.311279,2.761447,0.547588
1146.773682,2.763515,0.54399
1150.236206,2.76554,0.540397
1153.698608,2.767523,0.536811
1157.160889,2.769464,0.533231
1160.623291,2.771365,0.529659
1164.085571,2.773225,0.526094
1167.547729,2.775046,0.522537
1171.009888,2.776827,0.518987
1174.471924,2.778569,0.515446
1177.93396,2.780273,0.511913
1181.395996,2.78194,0.508389
1184.857788,2.783568,0.504874
1188.31958,2.78516,0.501368
1191.781372,2.786716,0.497872
1195.243042,2.788234,0.494384
1198.704712,2.789718,0.490907
1202.166138,2.791166,0.48744
1205.627563,2.792578,0.483983
1209.088989,2.793957,0.480537
1212.550171,2.795301,0.477102
1216.011353,2.796611,0.473678
1219.472412,2.797889,0.470265
1222.93335,2.799133,0.466864
1226.394287,2.800345,0.463475
1229.855225,2.801525,0.460098
1233.315796,2.802673,0.456733
1236.776489,2.80379,0.45338
1240.236938,2.804877,0.45004
1243.697266,2.805933,0.446713
1247.157593,2.80696,0.443399
1250.617798,2.807957,0.440098
1254.077881,2.808925,0.43681
1257.537842,2.809864,0.433535
1260.997559,2.810776,0.430274
1264.457275,2.811659,0.427026
1267.91687,2.812515,0.423792
1271.376343,2.813344,0.420572
1274.835693,2.814147,0.417366
1278.294922,2.814923,0.414173
1281.754028,2.815673,0.410995
1285.213013,2.816397,0.407831
1288.671753,2.817097,0.404682
1292.130493,2.817772,0.401546
1295.588989,2.818422,0.398425
1299.047363,2.819048,0.395318
1302.505615,2.819651,0.392226
1305.963745,2.82023,0.389149
1309.421753,2.820786,0.386086
1312.879639,2.821319,0.383038
1316.337158,2.82183,0.380004
1319.794678,2.822319,0.376985
1323.252075,2.822786,0.373981
1326.709229,2.823232,0.370992
1330.16626,2.823656,0.368017
1333.623291,2.82406,0.365057
1337.079834,2.824443,0.362113
1340.536377,2.824806,0.359183
1343.99292,2.82515,0.356268
1347.448975,2.825473,0.353368
1350.905029,2.825777,0.350483
1354.360962,2.826062,0.347612
1357.81665,2.826329,0.344757
1361.272095,2.826577,0.341916
1364.727295,2.826806,0.339091
1368.182495,2.827018,0.33628
1371.637451,2.827212,0.333485
1375.092163,2.827389,0.330704
1378.546753,2.827548,0.327938
1382.001221,2.827691,0.325187
1385.455322,2.827817,0.322451
1388.909302,2.827926,0.319729
1392.363037,2.82802,0.317023
1395.81665,2.828097,0.314331
1399.27002,2.828159,0.311654
1402.723145,2.828205,0.308992
1406.176025,2.828236,0.306345
1409.628784,2.828253,0.303712
1413.081299,2.828254,0.301094
1416.533691,2.828241,0.29849
1419.985718,2.828213,0.295902
1423.437622,2.828171,0.293327
1426.889282,2.828116,0.290768
1430.340698,2.828047,0.288223
1433.79187,2.827964,0.285692
1437.24292,2.827868,0.283176
1440.693604,2.827759,0.280674
1444.144165,2.827637,0.278187
1447.594482,2.827502,0.275714
1451.044434,2.827355,0.273255
1454.494263,2.827195,0.27081
1457.943726,2.827024,0.26838
1461.393066,2.82684,0.265964
1464.842163,2.826645,0.263562
1468.291016,2.826438,0.261174
1471.739502,2.82622,0.2588
1475.187866,2.82599,0.25644
1478.635986,2.825749,0.254094
1482.08374,2.825498,0.251761
1485.53125,2.825236,0.249443
1488.978516,2.824963,0.247139
1492.425537,2.82468,0.244848
1495.872314,2.824387,0.242571
1499.318726,2.824083,0.240307
1502.764893,2.82377,0.238057
1506.210938,2.823447,0.235821
1509.656494,2.823114,0.233598
1513.101929,2.822772,0.231389
1516.547119,2.82242,0.229193
1519.991943,2.82206,0.22701
1523.436401,2.82169,0.224841
1526.880615,2.821311,0.222685
1530.324585,2.820924,0.220542
1533.768311,2.820528,0.218412
1537.21167,2.820124,0.216295
1540.654785,2.819711,0.214191
1544.097534,2.81929,0.2121
1547.540039,2.818861,0.210022
1550.982178,2.818424,0.207957
1554.424072,2.817979,0.205905
1557.865723,2.817527,0.203865
1561.307007,2.817067,0.201838
1564.747925,2.816599,0.199824
1568.188721,2.816124,0.197822
1571.629028,2.815642,0.195833
1575.06897,2.815153,0.193857
1578.508667,2.814657,0.191892
1581.947998,2.814154,0.18994
1585.387085,2.813644,0.188001
1588.825928,2.813128,0.186073
1592.264282,2.812604,0.184158
1595.702393,2.812075,0.182255
1599.140137,2.811539,0.180364
1602.577515,2.810997,0.178485
1606.014526,2.810449,0.176618
1609.451294,2.809895,0.174762
1612.887695,2.809334,0.172919
1616.32373,2.808768,0.171087
1619.759521,2.808196,0.169268
1623.194824,2.807619,0.167459
1626.629761,2.807036,0.165663
1630.064453,2.806448,0.163878
1633.498779,2.805854,0.162104
1636.932739,2.805254,0.160342
1640.366455,2.80465,0.158592
1643.799561,2.804041,0.156852
1647.232422,2.803426,0.155124
1650.664795,2.802807,0.153408
1654.097046,2.802182,0.151702
1657.528687,2.801553,0.150007
1660.960205,2.800919,0.148324
1664.391235,2.800281,0.146652
1667.821899,2.799638,0.14499
1671.252197,2.79899,0.143339
1674.682007,2.798338,0.1417
1678.111572,2.797682,0.140071
1681.540649,2.797021,0.138452
1684.96936,2.796356,0.136845
1688.397705,2.795687,0.135248